text,goal_info,match_info,match_result,substitution,penalty,card_info
"Với việc để đối thủ dẫn bàn, Arsenal đã đẩy đội hình lên rất cao ngay đầu hiệp 2 nhằm tìm kiếm bàn gỡ. Phút 50, Giroud lại có cơ hội dứt điểm bằng đầu sau cú đá phạt trực tiếp của Wilshere, song rất tiếc cú dứt điểm của cầu thủ người Pháp tiếp tục đi thiếu chính xác. Phút 56, Arsenal đã may mắn thoát khỏi việc phải thi đấu thiếu người. Holding và Elneny mắc lỗi để Murphy vượt lên đối mặt với thủ thành Macey, cầu thủ người Ai Cập buộc phải phạm lỗi với tiền đạo đối phương. Tuy nhiên, rất may anh chỉ nhận thẻ vàng, trong tình huống này rất nhiều trọng tài sẵn sàng rút thẻ đỏ.",0,0,0,0,0,0
"Arsenal vẫn đang chơi rất chủ động, trong khi đó đội khách gần như lùi toàn bộ về sân nhà để bảo vệ tỷ số. Việc Norwich chơi với hàng thủ số đông đang khiến Pháo thủ gặp rất nhiều khó khăn. Các học trò của HLV Wenger không thể tạo ra những cơ hội ăn bàn rõ rệt để nuôi hy vọng tìm kiếm bàn gỡ. Ngược lại họ cũng cần thận trọng trước những tình huống lên bóng rất sắc từ phía đối thủ. Phút 72, Murphy có cơ hội rất tốt để nâng tỉ số lên 2-0, song anh lại dứt điểm ra ngoài trong tình huống đối mặt với thủ môn Macey của Arsenal. Đó là lời cảnh báo với hàng thủ đội chủ nhà, nếu nhận thêm một bàn thua nữa nhiệm vụ của họ sẽ trở nên khó khăn hơn rất nhiều. Phút 74, lại là một tình huống phản công cực kỳ lợi hại của đội khách. Oliveira lại thoát xuống đối mặt với thủ thành của Arsenal song anh xử lý quá rườm rà để cơ hội trôi qua.",0,0,0,0,0,0
Nketiah tỏa sáng đưa Arsenal vào tứ kết cúp Liên đoàn,0,0,0,0,0,0
"Những phút cuối trận Arsenal đã dồn toàn lực lên tìm bàn gỡ và rồi những nỗ lực của họ cũng được đền đáp. Phút 85, từ một quả phạt góc, cầu thủ vào sân thay người E. Nketiah nhanh chân đệm bóng chính xác cân bằng tỉ số 1-1 cho đội chủ nhà. Phút 90, Pháo thủ tí nữa đã có bàn thắng vượt lên sau pha phối hợp đẹp mắt giữ Iwobi và Wilshere, số 17 chọc khe để số 10 băng xuống đối mặt với thủ thành của Norwich song chân sút người Anh lại không thắng được thủ môn đối phương. Với việc hai đội hòa nhau trong 90 phút, trận đấu buộc phải đá thêm giờ.",1,0,0,0,0,0
"Norwich bất ngờ dồn lên ở hiệp phụ thứ nhất, song chính cách chơi này khiến họ phải trả giá. Phút 3 của hiệp phụ 1, lại là Nketiah bật cao đánh đầu chính xác sau quả đá phạt góc giúp Arsenal vươn lên dẫn trước 2-1. Phút 11, Giroud thoát xuống đối mặt với thủ thành Gunn nhưng anh lại không thắng được thủ môn của đối phương ở tình huống dứt điểm cuối cùng. Ngay đầu hiệp phụ 2, đội khách đã dồn lên tìm bàn gỡ. Tuy nhiên, họ không thể tạo ra một cơ hội nguy hiểm nào về phía khung thành Arsenal. Có bàn thắng dẫn trước nhưng Norwich lại để đội chủ nhà ngược dòng thắng lại 2-1 sau 120 phút thi đấu, họ đã nhường chiếc vé vào tứ kết cúp Liên đoàn Anh cho Pháo thủ.",1,0,1,0,0,0
Đội hình ra sân,0,0,0,0,0,0
"Arsenal: 54 M. Macey, 2 M. Debuchy, 16 R. Holding, 10 J. Wilshere, 61 R. Nelson (Nketiah, 85'), 34 F. Coquelin, 35 Mohamed Elneny, 17 A. Iwobi (Dasilva, 105'), 30 A. Maitland-Niles (Akpom, 70'), 14 T. Walcott, 12 O. Giroud.Norwich: 1 A. Gunn, 15 T. Klose, 2 Ivo Pinto, 3 J. Husband, 6 C. Zimmermann, 8 M. Vrancic, 19 T. Trybull, 4 H. Reed (Jerome, 101'), 23 J. Maddison (Hoolahan, 90+2), 9 Nelson Oliveira, 11 Josh Murphy (Stiepermann, 73')",0,0,0,0,0,0
Thông số Arsenal 2-1 Norwich,0,0,0,0,0,0
Vương Ngân (TTVN),0,0,0,0,0,0
Tottenham hành quân đến sân Ánh Sáng của Sunderland với tham vọng lấy trọn ba điểm hòng nuôi mộng đua tranh ngôi báu. Nhưng họ chỉ đạt kết quả hòa 0-0 trong một trận cầu nghèo nàn.,0,1,0,0,0,0
Tottenham thiếu sự sắc sảo cần thiết để cụ thể hóa ưu thế trận áp đảo mà họ tạo ra trước Sunderland,0,0,0,0,0,0
Đội quân của HLV Pochettino giữ bóng tới 73% và tạo ra thế trận áp đảo cùng không ít cơ hội ăn bàn. Nhưng họ bất lực trong việc chuyển hóa những ưu thế ấy thành một bàn thắng để kết liễu đối phương.,0,0,0,0,0,0
Sự bất lực ấy phần nhiều xuất phát từ việc hàng phòng ngự Sunderland đã chơi rất cố gắng. Nhưng Tottenham cũng phải tự trách bản thân khi bỏ lỡ nhiều cơ hội ngon. Victor Wanyama phung phí cơ hội tốt nhất của đội khách khi đánh đầu vọt xà trong tư thế không người kèm sau đường tạt như đặt của Son Heung-min.,0,0,0,0,0,0
"Bên phía chủ nhà, do tập trung phòng ngự để kiếm điểm, Sunderland hầu như không có cơ hội gây sức ép về phía cầu môn Tottenham. Cú sút của Fabio Borini đi thẳng vào hướng thủ môn Michel Vorm đã chọn là cơ hội ăn bàn rõ rệt nhất mà đội chủ sân Ánh Sáng tạo ra trong suốt 90 phút so tài.",0,0,0,0,0,0
"Do Chelsea đánh rơi chiến thắng trên sân Liverpool (hòa 1-1), kết quả hòa 0-0 tại Ánh Sáng có thể xem như một nỗi thất vọng với Tottenham, vì khoảng cách giữa họ với ngôi đầu vẫn là chín điểm.",0,0,1,0,0,0
"Nhưng thầy trò Pochettino cũng được an ủi phần nào khi trong trận đầu cùng giờ với họ, Arsenal bất ngờ thất thủ 1-2 trước Watford. Nhờ kết quả này, Tottenham đã san bằng cách biệt điểm số với Arsenal và vượt lên trên kình địch chiếm vị trí nhì bảng nhờ chỉ số phụ.",0,0,0,0,0,0
"Sau chuyến làm khách ở vòng 23 này, Tottenham sẽ trở về sân nhà White Hart Lane tiếp Boro ở vòng 24 thứ bảy 4/2 tới, cùng ngày với trận quyết đấu giữa Chelsea với Arsenal.",0,0,0,0,0,0
Có mặt trên khán đài tối 7-1 (giờ Việt Nam) gồm hai huyền thoại của Manchester United là: Bobby Charlton và Sir Alex Ferguson. Tiền đạo đồng đội một thời của Stam là Paul Scholes giữ vai trò giới thiệu nhân ngày đặc biệt.,0,1,0,0,0,0
HLV Jaap Stam của Reading là hậu vệ nổi tiếng một thời tại sân Old Trafford,0,0,0,0,0,0
"Tuy nhiên, lực lượng ra sân của Man Utd lại mang tính “sát thương” khá mạnh đối với đội khách. Đó là những cái tên như: Rooney, Rashford, Mata, Mảtial, đều được vào sân ngay từ đầu. Với những quân bài này rất khó để đội khách tránh sự trừng phạt cho các sai lầm.",0,0,0,0,0,0
"Điều đó trở thành hiện thực sau 7 phút bóng lăn, Rooney nhận món quà của người đồng đội Martial, đệm bóng cận thành, mở tỷ số trận đấu. Đây là bàn thắng cân bằng thành tích của huyền thoại Bobby Charlton. Phút 15, đích thân Martial độc diễn trước khi ghi bàn sau tình huống sút bóng kỹ thuật vào góc xa, nâng tỷ số lên 2-0.",1,0,0,0,0,0
"Sang hiệp hai, Rashford ghi hai bàn thắng sau sai lầm của hàng thủ đội khách. Đầu tiên là pha chuyền bóng chuẩn xác của Carrick khiến trung vệ Reading phá trượt bóng, tạo cơ hội cho Rashford thoải mái dẫn bóng và dứt điểm tinh tế, phút 75. Và bàn thắng từ tình huống sai lầm ngớ ngẩn của thủ môn đội khách Rashford áp sát và sút bóng ngay trước vạch vôi khung thành đối phương, đây cõ lẽ là bàn thắng dễ dàng nhất tiền đạo trẻ người Anh ghi được.",1,0,0,0,0,0
"""Sóng sau"" Rashford chói sáng giúp Man Utd đè bẹp đội khách 4-0",0,0,1,0,0,0
Bên ngoài sân Jaap Stam đứng thẫn thờ trước màn trình diễn quá tệ của học trò. Reading thảm bại 0-4 trong ngày huấn luyện viên người Hà Lan trở lại sân vận động quen thuộc. Mong muốn dẫn dắt đội chủ sân Old Trafford của nhà cầm quân sinh năm 1972 sẽ phải rất lâu mới có thể hiện thực hóa.,0,0,0,0,0,0
Ngày trở về Nhà hát của những giấc mơ đã trở thành ác mộng đối với Jaap Stam.,0,0,0,0,0,0
Hà Sơn,0,0,0,0,0,0
Dù cả Inter và AC Milan đều thất thế trong mùa giải này nhưng trận derby Milan không phải vì thế mà thiếu đi sự hấp dẫn. Trận derby Milan lần thứ 166 ở Serie A đã thực sự mang tới cảm xúc dâng trào cho những người hâm mộ.,0,0,0,0,0,0
Dù đã vượt lên dẫn trước tới 2-0,0,0,0,0,0,0
"Sau 90 phút thi đấu, hai đội đã hòa nhau với tỷ số 2-2. Trong đó, AC Milan đã xuất sắc gỡ hòa dù bị dẫn trước tới 2 bàn ở trận đấu này. Bàn thắng quyết định của trận đấu được Rossoneri thực hiện ở phút 97.",1,0,1,0,0,0
"Sau trận hòa này, AC Milan và Inter đã níu chân trên bảng xếp hạng. Trong khi AC Milan xếp thứ 6 với 58 điểm sau 32 trận thì Inter xếp thứ 7 với 2 điểm ít hơn. Cơ hội dự cúp châu Âu của họ ngày càng nhỏ.",0,1,0,0,0,0
"Bước vào trận đấu này, Inter ra sân với sơ đồ 4-2-3-1 quen thuộc. Chỉ có sự thay đổi khi Joao Mario được sử dụng ngay từ đầu ở vị trí hộ công cho Icardi. Hai cầu thủ chạy cánh vẫn là Candreva và Perisic. Ở bên kia chiến tuyến, AC Milan thi đấu với sơ đồ 4-3-3 với Deulofeu, Suso, Bacca trên hàng công.",0,0,0,0,0,0
"Trận đấu diễn ra với nhịp độ khá nhanh. Ngay trong những phút đầu, hai đội đã tạo ra không ít cơ hội nguy hiểm về phía khung thành của nhau. Đáng tiếc, Deulofeu, Bacca (AC Milan) cũng như Icardi (Inter) đều không thể tận dụng thành công.",0,0,0,0,0,0
"Với sự cơ động của Deulofeu, AC Milan thi đấu hay hơn trong những phút tiếp theo. Chính cựu cầu thủ của Barcelona và Everton đã đưa bóng tìm tới trúng cộc dọc khung thành của Inter ở phút thứ 14.",0,0,0,0,0,0
"Dù vậy, trong bối cảnh AC Milan không tìm được bàn thắng, họ đã phải trả giá. Phút 36, từ pha phất bóng chính xác của Gagliardini, Candreva thoát xuống đầy khôn ngoan, trước khi tung ra cú dứt điểm hạ gục thủ thành Donnarumma, mở tỷ số trận đấu.",1,0,0,0,0,0
"Nhưng AC Milan đã xuất sắc gỡ hòa. Trong đó, Zapata đã mang về 1 điểm cho Rossoneri ở phút 97",1,0,0,0,0,0
"Trước khi hiệp 1 khép lại, Inter đã có bàn thắng thứ 2. Sau pha đi bóng đầy tốc độ bên cánh trái, Perisic đã thực hiện cú căng ngang cho Icardi lao vào đệm bóng tung lưới AC Milan.",1,0,0,0,0,0
"Sau khi có được 2 bàn dẫn trước, Inter chủ động giảm nhịp độ trận đấu trong hiệp 2. AC Milan miệt mài tấn công nhưng không hiệu quả trước hàng phòng ngự được tổ chức tốt của đội bóng áo Xanh-Đen.",0,0,0,0,0,0
"Trong bối cảnh ấy, HLV Montella đã phải tung những cầu thủ tấn công như Locatelli, Lapadula và Ocampos vào sân, với hy vọng thay đổi tình hình. Phút 82, những nỗ lực của AC Milan đã được đền đáp khi Romagnoli băng vào dứt điểm rất nhanh tung lưới Inter sau đường chuyền của Suso.",1,0,0,1,0,0
"Những phút còn lại, AC Milan tạo ra sức ép khủng khiếp lên khung thành của Inter. Tuy nhiên, hàng thủ Nerazzurri vẫn đứng vững. Thậm chí, họ còn tạo ra không ít pha phản công nguy hiểm về phía khung thành của Rossoneri.",0,0,0,0,0,0
"Khi mà tất cả ngỡ như AC Milan thất bại thì Chúa đã được về phía họ. Trong tình huống phạt góc ở phút 97, Zapata đã có pha đệm bóng trúng xà ngang, bóng đã dội xuống và đi qua vạch vôi (công nghệ goal-line xác định điều này). Bị gỡ hòa ở phút cuối, Inter như thể rơi xuống địa ngục. Họ đã đánh rơi 2 điểm quá đáng tiếc.",0,0,0,0,0,0
Đội hình thi đấu:,0,0,0,0,0,0
"Inter: Handanovic; D’Ambrosio, Medel, Miranda, Nagatomo; Gagliardini, Kondogbia; Candreva (Biabiany 90), Joao Mario (Murillo 80), Perisic (Eder 68); Icardi",0,0,0,0,0,0
"Milan: Donnarumma; Calabria (Ocampos 80), Zapata, Romagnoli, De Sciglio; Kucka (Locatelli 57), Sosa (Lapadula 72), Mati Fernandez; Suso, Bacca, Deulofeu",0,0,0,0,0,0
H.Long,0,0,0,0,0,0
"The Blues chào đón sự trở lại của trụ cột Nemanja Matic (thay Fabregas) và Pedro (thay Willian), qua đó quy tụ đầy đủ 11 cái tên mà Conte ưng ý nhất, dù rằng Fabregas luôn chơi hay mỗi khi được trọng dụng, còn Willian mới lập hẳn cú đúp vào lưới Stoke.",0,0,0,0,0,0
"Phút thứ năm, cơ hội đầu tiên đến với Chelsea. Từ giữa sân, Matic phất đường chuyền bổng cho Eden Hazard thoát xuống nhận bóng. Dù có đủ thời gian lẫn không gian để tung ra pha dứt điểm chéo góc, ngôi sao người Bỉ lại quá hấp tấp khiến cú sút không trúng mục tiêu.",0,0,0,0,0,0
"Thế trận hiệp một hoàn toàn thuộc về Tottenham. Để ngăn cản đội chủ nhà, các cầu thủ Chelsea tổ chức áp sát rất nhanh mỗi khi đối phương có bóng, đồng thời không ngại sử dụng các biện pháp mạnh.",0,1,0,0,0,0
"Ngay trước giờ nghỉ giữa hai hiệp, Dele Alli mở tỷ số cho đội chủ nhà. Từ cánh phải, Eriksen tạt bóng cực đẹp vào khu vực 16,5 mét. Ngôi sao trẻ hay nhất Premier League 2015/16 ung dung bật cao đánh đầu lái bóng ấn tượng hạ gục Thibaut Courtois.",1,0,0,0,0,0
Thủ thành quốc tịch Bỉ bay người trong vô vọng.,0,0,0,0,0,0
Dele Alli bị trọng tài phạt thẻ vàng vì chạy ra đường biên ôm cổ động viên ăn mừng.,0,0,0,0,0,1
"Phút 47, Chelsea bỏ lỡ 2 cơ hội mười mươi để quân bình tỷ số. Thủ môn Hugo Lloris xuất sắc đổ người chặn đứng cú sút căng của Diego Costa ở gần vạch 16,5 mét. Ngay sau đó, Marcos Alonso chuyền cho Hazard đánh đầu nối nhưng không trúng đích dù cự ly rất gần.",0,0,0,0,0,0
"Đầu hiệp hai, đội khách Chelsea hoàn toàn kiểm soát thế trận, dồn ép Spurs dữ dội. The Blues biến hóa khôn lường khi thay đổi liên tục cách tiếp cận khung thành.",0,0,0,0,0,0
"Khi mà Chelsea đang loay hoay thì họ đã phải nhận bàn thua thứ hai, theo kịch bản y hệt bàn đầu tiên. Vẫn là Eriksen tạt bóng vào khu vực 16,5 mét và không ai ngoài Dele Alli bật cao hơn tất cả để thực hiện cú đánh đầu tung lưới Courtois. Theo kèm Alli là hai cầu thủ kém anh 10 centimet chiều cao (Alli 1,88 mét, Moses 1,77 mét và Azpilicueta 1,78 mét).",1,0,0,0,0,0
"Với vốn liếng 2 bàn nắm trong tay, Tottenham chuyển hẳn sang lối chơi phòng ngự - phản công. Họ tập trung gần toàn bộ lực lượng bên phần sân nhà để triển khai thế trận phòng ngự chặt chẽ, nhiều lớp che chắn mọi hướng tiếp cận khung thành nên Chelsea chỉ còn biết đâm đầu vào bế tắc. 2-0 là tỷ số cuối cùng của trận đấu.",0,0,1,0,0,0
"Thất thủ trên sân Tottenham, chuỗi thắng ấn tượng của The Blues chính thức dừng lại ở con số 13. Họ đã không thể cân bằng kỷ lục của Arsenal. Dẫu sao thì đây cũng là chuỗi thắng dài nhất lịch sử CLB Chelsea.",0,0,0,0,0,0
Đội hình thi đấu của hai CLB.,0,0,0,0,0,0
"Trên bảng xếp hạng, khoảng cách giữa Chelsea và Liverpool thu hẹp xuống 5 điểm. Tottenham vọt 2 bậc lên vị trí thứ ba.",0,0,0,0,0,0
Anh Dũng,0,0,0,0,0,0
Real Madrid đã tiếp Valencia trên sân nhà mà không có sự phục vụ của Cristiano Ronaldo do cầu thủ người Bồ Đào Nha bị treo giò. HLV Zinedine Zidane đã phải cho Nacho đá cặp trung vệ với Casemiro do Sergio Ramos bị treo giò còn Varane chấn thương.,0,1,0,0,0,0
Real Madrid đã mở tỉ số ở phút thứ 10 nhờ bàn thắng của Marco Asensio. Anh đã dứt điểm chuẩn xác ở mép vòng cấm khiến thủ môn của Valencia chỉ biết đứng nhìn.,1,0,0,0,0,0
Asensio đã lập cú đúp vào lưới Valencia,0,0,0,0,0,0
"Nhưng 8 phút sau, Valencia đã đưa trận đấu trở về vạch xuất phát, khi Carlos Soler chọc thủng lưới Keylor Navas bằng cú đệm bóng cận thành, sau quả căng ngang từ bên cánh trái của Toni Lato.",1,0,0,0,0,0
Carlos Soler ghi bàn vào lưới Real Madrid,0,0,0,0,0,0
"Phút 77, Kondogbia đưa đội khách vượt lên dẫn trước 2-1. Tuy nhiên 7 phút trước khi trận đấu kết thúc, Marco Asensio một lần nữa điền tên lên bảng tỉ số. Anh đã phạt trực tiếp thành công và giúp Real Madrid giành 1 điểm trên sân nhà.",1,0,1,0,0,0
"Với kết quả này, Real Madrid đứng thứ 5 trên BXH La Liga với 4 điểm sau 2 vòng đấu. Họ đang kém 2 điểm so với Barca, đội bóng xếp thứ 2 trên BXH.",0,0,0,0,0,0
"Theo thống kê, Real Madrid chưa thua bất cứ trận đấu nào khi Marco Asensio ghi bàn.",0,0,0,0,0,0
"Real Madrid: Keylor; Carvajal, Nacho, Casemiro, Marcelo; Asensio, Modric, Kroos (Mayoral 84'), Isco (Kovacic 46'); Bale (Vazquez 74'), Benzema",0,0,0,0,0,0
"Bàn thắng: Asensio 10’, 83’",1,0,0,0,0,0
"Valencia: Neto; Montoya (Nacho Vidal 75'), Vezo, Murillo, Lato (Nacho Gil 83'); Soler, Parejo, Kondogbia, Gaya; Rodrigo (Mina 88'), Zaza",0,0,0,0,0,0
"Bàn thắng: Soler 18’, Kondogbia 77’",1,0,0,0,0,0
Kết quả vòng 2,0,0,0,0,0,0
Bảng xếp hạng Liga sau vòng 2,0,0,0,0,0,0
Sơn TùngTổng hợp,0,0,0,0,0,0
"Ngay ở phút thứ 2, tân binh đắt giá Lacazette đã lập tức đặt dấu ấn của mình bằng pha đánh đầu hiểm hóc ở tỉ số cho Arsenal.",1,0,0,0,0,0
"Tuy nhiên, đội chủ nhà liên tiếp để Leicester vươn lên dẫn trước 2-1 nhờ các bàn thắng của Okazaki (5') và Vardy ở phút 29.",1,0,0,0,0,0
[Video tổng hợp trận đấu ở cuối bài],0,0,0,0,0,0
Arsenal và Leicester đã tạo nên một màn rượt đuổi điên rồ,0,1,0,0,0,0
"Rất may là trước giờ nghỉ giải lao, Welbeck đã dễ dàng giúp Pháo thủ quân binh tỉ số 2-2. Nếu để thua trước khi hiệp 1 khép lại, tâm lý các học trò HLV Wenger sẽ bị đè nặng và chưa biết điều gì sẽ xảy ra.",1,0,0,0,0,0
"Nhưng ngay cả như vậy, đội chủ sân Emirates cũng bước vào hiệp 2 với phong thái như ""đãi khách"". Phần vì hàng thủ của Arsenal lỏng lẻo, phần vì Leicester tấn công quá hay, mà Vardy đã có cú đúp cho riêng mình phút 56, đưa đội khách vươn lên dẫn 3-2.",1,0,0,0,0,0
"Sự kịch tính và phấn khích được đẩy lên đỉnh điểm, khi liên tiếp trong các phút 83 và 85, Aaron Ramsey và tiền đạo vào sân thay người Giroud đã liên tiếp ghi những bàn thắng quý hơn vàng, giúp Arsenal giành chiến thắng chung cuộc 4-3.",1,0,1,0,0,0
"Sân Emirates như ""nổ tung"". Một màn chào mùa giải mới không thể tưng bừng hơn của hai đội!",0,0,0,0,0,0
Video tổng hợp trận đấu:,0,0,0,0,0,0
"showvideo('video1633037', 'http://streaming.anninhthudo.vn/be8a7ac2941e98a55b00b460266f5953/598fa490/2017_08_12/phidiep/20170812042758arsenalvsleicester43allgoalshighlights11082017hd.mp4');",0,0,0,0,0,0
Phi Phi,0,0,0,0,0,0
Marcos Alonso rực sáng giúp Chelsea đánh bại Tottenham ngay tại Wembley,0,0,0,0,0,0
"Sau thất bại bẽ bàng ngay trên sân nhà trước Burnley ngày ra quân, HLV Conte đã chịu rất nhiều sức ép. Không những vậy, Chelsea còn bước vào trận derby London gặp Tottenham tại Wembley (sân nhà của Spurs trong mùa giải này) mà thiếu hụt trầm trọng về nhân sự khi Gary Cahill, Fabregas (treo giò), Eden Hazard (chấn thương) không thể ra sân.",0,1,0,0,0,0
"Bước vào trận đấu này, HLV Conte tung ra sân đội hình 3-5-1-1 với Morata đá cắm trên hàng công. Chơi ngay phía sau cầu thủ này là Willian. Đáng chú ý, dù vừa trở lại sau chấn thương nhưng tân binh Tiemoue Bakayoko có màn ra mắt Premier League. Tiền vệ người Pháp chơi bên cạnh N'Golo Kante và David Luiz.",0,0,0,0,0,0
"Về phía đội chủ nhà, Tottenham ra sân với đội hình mạnh nhất khi hậu vệ trẻ Kieran Trippier đã bình phục để trở lại trong sơ đồ 3-4-2-1 quen thuộc của HLV Mauricio Pochettino với Harry Kane đá cao nhất trên hàng công.",0,0,0,0,0,0
Morata bỏ lỡ cơ hội sớm đưa Chelsea vươn lên dẫn bàn,0,0,0,0,0,0
"Ngay sau tiếng còi khai cuộc, Chelsea nhập cuộc khá chủ động. Phút thứ 5, họ đã tạo ra cơ hội nguy hiểm đầu tiên. Từ pha tạt bóng của Azpilicueta, Morata đã băng vào đánh đầu nhưng đi chệch cột dọc.",0,0,0,0,0,0
"Tuy nhiên, sau khoảng 10 phút, Tottenham đã lấy lại thế trận và có màn đáp trả sau đó. Dù vậy, họ không thành công. Trong thế trận chắc chắn của hai đội, Chelsea đã có được bàn thắng từ tình huống cố định. Phút 24, từ pha đá phạt chếch bên cánh phải, Marcos Alonso đã thực hiện cú sút đẹp mắt, khiến thủ thành Hugo Lloris bay người hết cỡ nhưng không thể cản phá.",1,0,0,0,0,0
Marcos Alonso sút phạt tuyệt đẹp mở tỉ số,0,0,0,0,0,0
